Tempo;V1;V2;V3;A1;A2;A3;U1;U2;U3
s;V;V;V;A;A;A;V;V;V
0.367900;7219.118294;-11107.10074;3853.17953;-1.618283613;-0.647313445;4.531194115;18326.21903;-14960.28027;-3365.938764
0.367965;7467.710522;-11067.32598;3564.812546;-1.618283613;-0.647313445;4.531194115;18535.0365;-14632.13853;-3902.897976
0.368030;7671.556149;-11027.55122;3311.248474;-1.941940335;-0.647313445;4.531194115;18699.10737;-14338.7997;-4360.307675
0.368095;7830.655174;-10948.00171;3037.797023;-1.618283613;-0.647313445;4.531194115;18778.65689;-13985.79873;-4792.858151
0.368160;8034.500801;-10833.64929;2749.430039;-1.618283613;-0.647313445;4.531194115;18868.15009;-13583.07932;-5285.070762
0.368225;8238.346428;-10783.93084;2495.865967;-1.618283613;-0.970970168;4.531194115;19022.27727;-13279.79681;-5742.480461
0.368290;8442.192055;-10704.38133;2252.245584;-1.29462689;-0.647313445;4.531194115;19146.57338;-12956.62691;-6189.946471
0.368355;8566.488169;-10624.83181;1978.794133;-1.29462689;-0.970970168;4.531194115;19191.31998;-12603.62595;-6587.694036
0.368420;8730.559039;-10470.70463;1690.427149;-1.29462689;-0.970970168;4.531194115;19201.26367;-12161.13178;-7040.13189
0.368485;8894.629909;-10376.23959;1407.032009;-0.970970168;-0.970970168;4.531194115;19270.8695;-11783.2716;-7487.5979
0.368550;9098.475536;-10296.69007;1153.467937;-1.29462689;-0.970970168;4.531194115;19395.16561;-11450.15801;-7945.007599
0.368615;9217.799805;-10177.3658;904.875709;-1.29462689;-0.970970168;4.531194115;19395.16561;-11082.24151;-8312.924096
0.368680;9342.095919;-10058.04154;631.4242585;-0.970970168;-0.970970168;4.531194115;19400.13745;-10689.46579;-8710.671661
0.368745;9506.16679;-9933.745421;348.0291189;-0.970970168;-0.970970168;4.531194115;19439.91221;-10281.77454;-9158.137671
0.368810;9665.265815;-9809.449307;59.66213466;-0.970970168;-1.29462689;4.531194115;19474.71512;-9869.111442;-9605.603681
0.368875;9789.561929;-9690.125038;-223.733005;-0.970970168;-0.970970168;4.854850838;19479.68697;-9466.392033;-10013.29493
0.368940;9913.858043;-9565.828924;-477.2970773;-0.970970168;-0.970970168;4.854850838;19479.68697;-9088.531847;-10391.15512
0.369005;9993.407556;-9371.926987;-720.9174605;-0.970970168;-1.29462689;4.531194115;19365.33454;-8651.009526;-10714.32502
0.369070;10117.70367;-9237.687184;-999.3407556;-0.647313445;-1.29462689;4.854850838;19355.39085;-8238.346428;-11117.04443
0.369135;10237.02794;-9083.560002;-1282.735895;-0.647313445;-1.29462689;4.854850838;19320.58794;-7800.824107;-11519.76383
