Time;V1;V2;V3;A1;A2;A3;U1;U2;U3
s;V;V;V;A;A;A;V;V;V
0,5172050;5588,35328;-11305,97452;5797,170751;-1,941940335;0,323656723;4,531194115;16894,3278;-17103,14527;208,8174713
0,5172700;5836,945508;-11345,74928;5553,550368;-1,618283613;0,323656723;4,854850838;17182,69478;-16899,29964;-283,3951396
0,5173350;6040,791135;-11276,14345;5309,929985;-1,618283613;0,323656723;4,854850838;17316,93459;-16586,07344;-730,8611496
0,5174000;6284,411518;-11266,19976;5031,50669;-1,618283613;0,323656723;4,854850838;17550,61128;-16297,70645;-1252,904828
0,5174650;6528,031901;-11266,19976;4807,773685;-1,29462689;0,323656723;4,854850838;17794,23166;-16073,97345;-1720,258216
0,5175300;6771,652284;-11231,39685;4544,265923;-1,618283613;0,323656723;4,854850838;18003,04913;-15775,66277;-2227,386361
0,5175950;6975,497911;-11191,62209;4255,898939;-1,618283613;0;4,854850838;18167,12;-15447,52103;-2719,598972
0,5176600;7219,118294;-11146,87549;3942,672732;-1,29462689;0,323656723;5,178507561;18365,99379;-15089,54823;-3276,445562
0,5177250;7467,710522;-11107,10074;3679,164971;-1,29462689;0;5,178507561;18574,81126;-14786,26571;-3788,545551
0,5177900;7626,809548;-11067,32598;3435,544588;-1,29462689;0;5,178507561;18694,13553;-14502,87057;-4191,26496
0,5178550;7830,655174;-10992,74831;3157,121293;-1,29462689;0;5,178507561;18823,40349;-14149,8696;-4673,533882
0,5179200;8034,500801;-10908,22695;2873,726153;-1,29462689;0;5,178507561;18942,72776;-13781,95311;-5160,774648
0,5179850;8238,346428;-10828,67744;2585,359169;-1,29462689;-0,323656723;4,854850838;19067,02387;-13414,03661;-5652,987259
0,5180500;8442,192055;-10744,15608;2331,795096;-0,970970168;0;5,178507561;19186,34814;-13075,95118;-6110,396958
0,5181150;8606,262925;-10664,60657;2058,343646;-0,970970168;-0,323656723;5,178507561;19270,8695;-12722,95022;-6547,919279
0,5181800;8770,333795;-10510,47939;1774,948506;-0,970970168;-0,323656723;4,854850838;19280,81319;-12285,4279;-6995,385289
0,5182450;8894,629909;-10455,7891;1486,581522;-0,647313445;0;5,178507561;19350,41901;-11942,37062;-7408,048387
0,5183100;9053,728935;-10341,43667;1262,848517;-0,970970168;-0,323656723;5,178507561;19395,16561;-11604,28519;-7790,880418
0,5183750;9217,799805;-10256,91532;969,5096883;-0,647313445;-0,323656723;4,854850838;19474,71512;-11226,42501;-8248,290117
0,5184400;9381,870676;-10067,98522;765,6640615;-0,647313445;-0,323656723;5,178507561;19449,8559;-10833,64929;-8616,206614
0,5185050;9545,941546;-9968,548333;412,6630981;-0,647313445;-0,323656723;5,178507561;19514,48988;-10381,21143;-9133,278448
0,5185700;9625,491059;-9854,195908;164,0708703;-0,647313445;-0,647313445;4,854850838;19479,68697;-10018,26678;-9461,420189
0,5186350;9789,561929;-9764,702706;-134,239803;-0,647313445;-0,323656723;5,178507561;19554,26464;-9630,462903;-9923,801732
0,5187000;9913,858043;-9610,575525;-367,9164971;-0,647313445;-0,647313445;5,178507561;19524,43357;-9242,659028;-10281,77454
0,5187650;10033,18231;-9451,476499;-631,4242585;-0,647313445;-0,647313445;5,178507561;19484,65881;-8820,052241;-10664,60657
0,5188300;10157,47843;-9287,405629;-884,9883308;-0,323656723;-0,323656723;4,854850838;19444,88406;-8402,417298;-11042,46676
0,5188950;10321,5493;-9158,137671;-1193,242693;-0,323656723;-0,647313445;5,178507561;19479,68697;-7964,894977;-11514,79199
0,5189600;10401,09881;-8999,038645;-1426,919387;-0,323656723;-0,647313445;5,178507561;19400,13745;-7572,119258;-11828,0182
0,5190250;10480,64832;-8834,967775;-1690,427149;-0,323656723;-0,647313445;5,178507561;19315,6161;-7144,540626;-12171,07547
0,5190900;10565,16968;-8670,896904;-1978,794133;-0,323656723;-0,647313445;4,854850838;19236,06658;-6692,102771;-12543,96381
0,5191550;10684,49395;-8511,797879;-2232,358205;-0,323656723;-0,647313445;4,854850838;19196,29183;-6279,439673;-12916,85215
0,5192200;10769,01531;-8347,727008;-2505,809656;0;-0,647313445;5,178507561;19116,74231;-5841,917352;-13274,82496
0,5192850;10848,56482;-8148,853226;-2759,373728;-0,323656723;-0,970970168;4,854850838;18997,41805;-5389,479498;-13607,93855
0,5193500;10933,08618;-7945,007599;-3067,628091;0;-0,970970168;5,178507561;18878,09378;-4877,379509;-14000,71427
0,5194150;11012,63569;-7741,161972;-3331,135852;0;-0,970970168;5,178507561;18753,79766;-4410,02612;-14343,77154
0,5194800;11092,1852;-7537,316346;-3604,587303;0;-0,970970168;5,178507561;18629,50155;-3932,729043;-14696,77251
0,5195450;11136,9318;-7368,273631;-3892,954287;0,323656723;-0,970970168;5,178507561;18505,20543;-3475,319344;-15029,88609
0,5196100;11136,9318;-7089,850336;-4116,687292;0,323656723;-0,970970168;5,178507561;18226,78214;-2973,163044;-15253,6191
0,5196750;11296,03083;-6846,229953;-4410,02612;0,323656723;-1,29462689;5,178507561;18142,26078;-2436,203832;-15706,05695
0,5197400;11256,25607;-6672,215393;-4673,533882;0,647313445;-1,29462689;4,854850838;17928,47147;-1998,681511;-15929,78995
0,5198050;11340,77743;-6398,763943;-4922,12611;0,323656723;-1,29462689;5,178507561;17739,54137;-1476,637833;-16262,90354
0,5198700;11296,03083;-6184,974627;-5195,57756;0,323656723;-1,29462689;4,854850838;17481,00546;-989,3970665;-16491,60839
0,5199350;11296,03083;-5946,326088;-5419,310565;0,647313445;-1,29462689;4,854850838;17242,35692;-527,0155229;-16715,34139
0,5200000;11340,77743;-5702,705705;-5682,818327;0,647313445;-1,29462689;4,854850838;17043,48314;-19,88737822;-17023,59576
0,5200650;11340,77743;-5459,085322;-5906,551332;0,647313445;-1,618283613;4,531194115;16799,86275;447,46601;-17247,32876
